Project,Method,Metric,Type,APFD,Setup (s),Prior (s),Total (s),Runs
Chart,FALCON-codexembed,cosine,Submodular-Emb,0.7693 ± 0.0000,0.00,3.29,3.29,1
Chart,FALCON-codexembed,euclidean,Submodular-Emb,0.7458 ± 0.0000,0.00,3.24,3.24,1
Chart,FALCON-unixcoder,cosine,Submodular-Emb,0.7263 ± 0.0000,0.00,3.45,3.45,1
Chart,FALCON-unixcoder,euclidean,Submodular-Emb,0.7464 ± 0.0000,0.00,3.02,3.02,1
Chart,FALCON-graphcodebert,cosine,Submodular-Emb,0.7625 ± 0.0000,0.00,3.56,3.56,1
Chart,FALCON-graphcodebert,euclidean,Submodular-Emb,0.7736 ± 0.0000,0.00,3.38,3.38,1
Chart,FALCON-codebert,cosine,Submodular-Emb,0.7302 ± 0.0000,0.00,3.65,3.65,1
Chart,FALCON-codebert,euclidean,Submodular-Emb,0.7312 ± 0.0000,0.00,3.25,3.25,1
Chart,FALCON-starencoder,cosine,Submodular-Emb,0.6639 ± 0.0000,0.00,3.44,3.44,1
Chart,FALCON-starencoder,euclidean,Submodular-Emb,0.7383 ± 0.0000,0.00,3.24,3.24,1
Chart,LOGDET-codexembed,cosine,Submodular-Emb,0.7912 ± 0.0000,0.00,81.41,81.41,1
Chart,LOGDET-codexembed,euclidean,Submodular-Emb,0.8009 ± 0.0000,0.00,55.73,55.73,1
Chart,LOGDET-unixcoder,cosine,Submodular-Emb,0.7311 ± 0.0000,0.00,73.43,73.43,1
Chart,LOGDET-unixcoder,euclidean,Submodular-Emb,0.6898 ± 0.0000,0.00,85.64,85.64,1
Chart,LOGDET-graphcodebert,cosine,Submodular-Emb,0.7783 ± 0.0000,0.00,57.09,57.09,1
Chart,LOGDET-graphcodebert,euclidean,Submodular-Emb,0.7510 ± 0.0000,0.00,59.11,59.11,1
Chart,LOGDET-codebert,cosine,Submodular-Emb,0.7822 ± 0.0000,0.00,51.51,51.51,1
Chart,LOGDET-codebert,euclidean,Submodular-Emb,0.7139 ± 0.0000,0.00,56.60,56.60,1
Chart,LOGDET-starencoder,cosine,Submodular-Emb,0.7074 ± 0.0000,0.00,53.80,53.80,1
Chart,LOGDET-starencoder,euclidean,Submodular-Emb,0.7314 ± 0.0000,0.00,54.38,54.38,1
Chart,GRAPHCUT-codexembed,cosine,Submodular-Emb,0.5813 ± 0.0000,0.00,127.27,127.27,1
Chart,GRAPHCUT-codexembed,euclidean,Submodular-Emb,0.5729 ± 0.0000,0.00,226.01,226.01,1
Chart,GRAPHCUT-unixcoder,cosine,Submodular-Emb,0.5950 ± 0.0000,0.00,72.73,72.73,1
Chart,GRAPHCUT-unixcoder,euclidean,Submodular-Emb,0.6584 ± 0.0000,0.00,115.67,115.67,1
Chart,GRAPHCUT-graphcodebert,cosine,Submodular-Emb,0.5655 ± 0.0000,0.00,108.17,108.17,1
Chart,GRAPHCUT-graphcodebert,euclidean,Submodular-Emb,0.5525 ± 0.0000,0.00,104.26,104.26,1
Chart,GRAPHCUT-codebert,cosine,Submodular-Emb,0.5849 ± 0.0000,0.00,141.47,141.47,1
Chart,GRAPHCUT-codebert,euclidean,Submodular-Emb,0.6011 ± 0.0000,0.00,95.11,95.11,1
Chart,GRAPHCUT-starencoder,cosine,Submodular-Emb,0.5700 ± 0.0000,0.00,239.12,239.12,1
Chart,GRAPHCUT-starencoder,euclidean,Submodular-Emb,0.5374 ± 0.0000,0.00,108.60,108.60,1
Chart,FAST-pw,N/A,FAST-Shingles,0.6121 ± 0.0315,2.13,1.50,3.63,50
Chart,FAST-all,N/A,FAST-Shingles,0.6594 ± 0.0416,2.13,0.02,2.15,50
Chart,FAST-sqrt,N/A,FAST-Shingles,0.5890 ± 0.0357,2.13,0.04,2.17,50
Chart,FAST-log,N/A,FAST-Shingles,0.6367 ± 0.0312,2.14,0.05,2.19,50
Chart,FAST-one,N/A,FAST-Shingles,0.5510 ± 0.0262,2.13,0.15,2.28,50
Lang,FALCON-codexembed,cosine,Submodular-Emb,0.7183 ± 0.0000,68.31,3.15,71.46,1
Lang,FALCON-codexembed,euclidean,Submodular-Emb,0.7094 ± 0.0000,0.00,3.09,3.09,1
Lang,FALCON-unixcoder,cosine,Submodular-Emb,0.7543 ± 0.0000,19.85,3.71,23.55,1
Lang,FALCON-unixcoder,euclidean,Submodular-Emb,0.7036 ± 0.0000,0.00,3.02,3.02,1
Lang,FALCON-graphcodebert,cosine,Submodular-Emb,0.6310 ± 0.0000,23.08,3.64,26.72,1
Lang,FALCON-graphcodebert,euclidean,Submodular-Emb,0.5600 ± 0.0000,0.00,3.33,3.33,1
Lang,FALCON-codebert,cosine,Submodular-Emb,0.5468 ± 0.0000,23.02,3.76,26.78,1
Lang,FALCON-codebert,euclidean,Submodular-Emb,0.5592 ± 0.0000,0.00,3.51,3.51,1
Lang,FALCON-starencoder,cosine,Submodular-Emb,0.7522 ± 0.0000,26.01,3.47,29.48,1
Lang,FALCON-starencoder,euclidean,Submodular-Emb,0.7234 ± 0.0000,0.00,3.32,3.32,1
Lang,LOGDET-codexembed,cosine,Submodular-Emb,0.7008 ± 0.0000,0.00,81.95,81.95,1
Lang,LOGDET-codexembed,euclidean,Submodular-Emb,0.6459 ± 0.0000,0.00,52.37,52.37,1
Lang,LOGDET-unixcoder,cosine,Submodular-Emb,0.6681 ± 0.0000,0.00,70.47,70.47,1
Lang,LOGDET-unixcoder,euclidean,Submodular-Emb,0.6841 ± 0.0000,0.00,80.76,80.76,1
Lang,LOGDET-graphcodebert,cosine,Submodular-Emb,0.6949 ± 0.0000,0.00,58.11,58.11,1
Lang,LOGDET-graphcodebert,euclidean,Submodular-Emb,0.6005 ± 0.0000,0.00,59.24,59.24,1
Lang,LOGDET-codebert,cosine,Submodular-Emb,0.6036 ± 0.0000,0.00,54.03,54.03,1
Lang,LOGDET-codebert,euclidean,Submodular-Emb,0.6042 ± 0.0000,0.00,58.54,58.54,1
Lang,LOGDET-starencoder,cosine,Submodular-Emb,0.7775 ± 0.0000,0.00,55.74,55.74,1
Lang,LOGDET-starencoder,euclidean,Submodular-Emb,0.7311 ± 0.0000,0.00,48.80,48.80,1
Lang,GRAPHCUT-codexembed,cosine,Submodular-Emb,0.6580 ± 0.0000,0.00,114.70,114.70,1
Lang,GRAPHCUT-codexembed,euclidean,Submodular-Emb,0.6272 ± 0.0000,0.00,218.36,218.36,1
Lang,GRAPHCUT-unixcoder,cosine,Submodular-Emb,0.5284 ± 0.0000,0.00,61.26,61.26,1
Lang,GRAPHCUT-unixcoder,euclidean,Submodular-Emb,0.5659 ± 0.0000,0.00,98.39,98.39,1
Lang,GRAPHCUT-graphcodebert,cosine,Submodular-Emb,0.5136 ± 0.0000,0.00,102.74,102.74,1
Lang,GRAPHCUT-graphcodebert,euclidean,Submodular-Emb,0.5611 ± 0.0000,0.00,100.16,100.16,1
Lang,GRAPHCUT-codebert,cosine,Submodular-Emb,0.5239 ± 0.0000,0.00,133.78,133.78,1
Lang,GRAPHCUT-codebert,euclidean,Submodular-Emb,0.5798 ± 0.0000,0.00,92.88,92.88,1
Lang,GRAPHCUT-starencoder,cosine,Submodular-Emb,0.4789 ± 0.0000,0.00,205.58,205.58,1
Lang,GRAPHCUT-starencoder,euclidean,Submodular-Emb,0.5675 ± 0.0000,0.00,106.78,106.78,1
Lang,FAST-pw,N/A,FAST-Shingles,0.5052 ± 0.0414,1.85,1.55,3.40,50
Lang,FAST-all,N/A,FAST-Shingles,0.6214 ± 0.0282,1.86,0.03,1.89,50
Lang,FAST-sqrt,N/A,FAST-Shingles,0.5212 ± 0.0349,1.86,0.04,1.90,50
Lang,FAST-log,N/A,FAST-Shingles,0.5285 ± 0.0337,1.87,0.05,1.92,50
Lang,FAST-one,N/A,FAST-Shingles,0.5630 ± 0.0331,1.85,0.12,1.97,50
Math,FALCON-codexembed,cosine,Submodular-Emb,0.5703 ± 0.0000,113.70,4.67,118.38,1
Math,FALCON-codexembed,euclidean,Submodular-Emb,0.5361 ± 0.0000,0.00,4.64,4.64,1
Math,FALCON-unixcoder,cosine,Submodular-Emb,0.6224 ± 0.0000,27.14,5.19,32.34,1
Math,FALCON-unixcoder,euclidean,Submodular-Emb,0.5462 ± 0.0000,0.00,4.33,4.33,1
Math,FALCON-graphcodebert,cosine,Submodular-Emb,0.5661 ± 0.0000,30.20,5.43,35.63,1
Math,FALCON-graphcodebert,euclidean,Submodular-Emb,0.5129 ± 0.0000,0.00,4.89,4.89,1
Math,FALCON-codebert,cosine,Submodular-Emb,0.5306 ± 0.0000,30.21,5.51,35.73,1
Math,FALCON-codebert,euclidean,Submodular-Emb,0.5405 ± 0.0000,0.00,4.98,4.98,1
Math,FALCON-starencoder,cosine,Submodular-Emb,0.5992 ± 0.0000,42.96,5.28,48.23,1
Math,FALCON-starencoder,euclidean,Submodular-Emb,0.6284 ± 0.0000,0.00,4.87,4.87,1
Math,LOGDET-codexembed,cosine,Submodular-Emb,0.7023 ± 0.0000,0.00,123.75,123.75,1
Math,LOGDET-codexembed,euclidean,Submodular-Emb,0.6532 ± 0.0000,0.00,95.17,95.17,1
Math,LOGDET-unixcoder,cosine,Submodular-Emb,0.6495 ± 0.0000,0.00,104.77,104.77,1
Math,LOGDET-unixcoder,euclidean,Submodular-Emb,0.5862 ± 0.0000,0.00,135.84,135.84,1
Math,LOGDET-graphcodebert,cosine,Submodular-Emb,0.5859 ± 0.0000,0.00,80.99,80.99,1
Math,LOGDET-graphcodebert,euclidean,Submodular-Emb,0.5642 ± 0.0000,0.00,113.18,113.18,1
Math,LOGDET-codebert,cosine,Submodular-Emb,0.5518 ± 0.0000,0.00,74.27,74.27,1
